drama_name,section_title,character_name,actor_name,content
보물섬,드라마 정보,서동주,박형식(해커 출신 '서동주' 역),"1. <보물섬> (SBS 금토드라마): 박형식(해커 출신 '강도윤' 역), 허준호(재벌 회장 '장기문' 역) 주연. 해킹된 2조원 비자금을 둘러싼 복수극. 2025년 4월 12일 최종회 방송. 중반부 시청률 12.3%로 자체 최고 기록."
보물섬,드라마 정보,강도윤,박형식(해커 출신 '강도윤' 역),"1. <보물섬> (SBS 금토드라마): 박형식(해커 출신 '강도윤' 역), 허준호(재벌 회장 '장기문' 역) 주연. 해킹된 2조원 비자금을 둘러싼 복수극. 2025년 4월 12일 최종회 방송. 중반부 시청률 12.3%로 자체 최고 기록."
보물섬,드라마 정보,장기문,허준호(재벌 회장 '장기문' 역),"1. <보물섬> (SBS 금토드라마): 박형식(해커 출신 '강도윤' 역), 허준호(재벌 회장 '장기문' 역) 주연. 해킹된 2조원 비자금을 둘러싼 복수극. 2025년 4월 12일 최종회 방송. 중반부 시청률 12.3%로 자체 최고 기록."
달의 연인,드라마 정보,윤하리,김지원(현대의 의사 '윤하리' 역),"2. <달의 연인> (tvN 월화드라마): 김지원(현대의 의사 '윤하리' 역), 박보검(전생의 왕자 '원효' 역) 주연. 전생과 현생을 넘나드는 판타지 로맨스. 4월 8일 첫 방송."
달의 연인,드라마 정보,윤하리,김지원(현대의 의사 '윤하리' 역),"2. <달의 연인> (tvN 월화드라마): 김지원(현대의 의사 '윤하리' 역), 박보검(전생의 왕자 '원효' 역) 주연. 전생과 현생을 넘나드는 판타지 로맨스. 4월 8일 첫 방송."
달의 연인,드라마 정보,원효,박보검(전생의 왕자 '원효' 역),"2. <달의 연인> (tvN 월화드라마): 김지원(현대의 의사 '윤하리' 역), 박보검(전생의 왕자 '원효' 역) 주연. 전생과 현생을 넘나드는 판타지 로맨스. 4월 8일 첫 방송."
협상의 기술,드라마 정보,한도진,정우성(기업 인수 전문가 '한도진' 역),"5. <협상의 기술> (JTBC 주말드라마): 정우성(기업 인수 전문가 '한도진' 역), 김아중(로펌 변호사 '서지연' 역) 주연. M&A 전문가들의 실제 기업 협상 과정을 다룬 현실 기반 드라마. 4월 13일 종영."
협상의 기술,드라마 정보,한도진,정우성(기업 인수 전문가 '한도진' 역),"5. <협상의 기술> (JTBC 주말드라마): 정우성(기업 인수 전문가 '한도진' 역), 김아중(로펌 변호사 '서지연' 역) 주연. M&A 전문가들의 실제 기업 협상 과정을 다룬 현실 기반 드라마. 4월 13일 종영."
협상의 기술,드라마 정보,서지연,김아중(로펌 변호사 '서지연' 역),"5. <협상의 기술> (JTBC 주말드라마): 정우성(기업 인수 전문가 '한도진' 역), 김아중(로펌 변호사 '서지연' 역) 주연. M&A 전문가들의 실제 기업 협상 과정을 다룬 현실 기반 드라마. 4월 13일 종영."
바니와 오빠들,드라마 정보,윤바니,정소민(전직 아이돌 '윤바니' 역),"6. <바니와 오빠들> (MBC 금토드라마): 정소민(전직 아이돌 '윤바니' 역), 채종협(바니의 남동생 '윤성호' 역) 주연. 음악과 가족의 재회를 그린 따뜻한 코믹 휴먼 드라마. 4월 11일 첫 방송."
