section_title,character_name,actor_name,content
시기조차 할 수 없는 1등,유제이,이혜리 | 아역: 오은서(6세)/이주연(13세,"상위 1%가 모인 채화여고에서도 0.1%의 자리를 놓치지 않는 천재 여고생으로 외모, 성적, 집안 모든 것이 완벽한 채화여고의 유일무이 실세."
살아남으려는 생존형 1등,우슬기,정수빈 | 아역: 최하윤(5세)/문서현(13세),"지방 보육원 출신으로, 채화여고에서 살아남기 위해 학업과 성적에 집착하게 되는 인물."
가십의 여왕,주예리,강혜원 | 아역: 윤채나,채화여고 가십의 여왕으로 남들의 눈에 보여지는 것을 중요하게 여기며 외모와 명품에 집착하는 인물로 소문과 찌라시에도 예민하게 반응한다.
만년 2등 모범생,최경,오우리 | 아역: 주예림(13세),유제이 때문에 아무리 노력해도 만년 2등을 벗어날 수 없는 콤플렉스의 소유자.
유제이의 아빠,유태준,김태훈 | 아역: 박시현(6세)/이우주(중학생),"세상의 모든 것은 경쟁으로 얻어내야 한다는 가치관을 가지고 있으며, 자식들에게도 무조건적인 사랑 대신 결과에 따른 조건부 보상을 주는 아버지다. 자신을 닮은 것 같은 완벽한 딸 유제이에 대한 투자를 아끼지 않으며, 채화여고 학부모 회장으로서 학업에도 적극적으로 나선다."
우슬기와 같은 출신,남병진,영재,"우슬기와 같은 보육원 선배 양아치이자 약물쇼핑 범죄 매니저로, 우슬기가 서울의 채화여고로 전학온 이후로도 곁을 맴돌며 유제이, 주예리, 최경과도 얽힌다."
유제이의 언니,유제나, 추예진 | 아역: 기소유(7세)/이설아(14세),유제이의 언니로 현재는 재수 때문에 칩거 중인 상태로 알려져 있다.
우슬기의 아버지,우도혁,이원재,우슬기의 아버지로 채화여고 선생님이자 수능출제위원이었다.
우슬기의 새어머니,권희윤,강진아,"우슬기의 아버지가 사별 후 재혼한 아내로, 생전에 남편이 찾던 슬기를 보육원에서 서울로 데려온다."
유제이의 어머니,정은경,민영,"유제이의 어머니로, 남편과 달리 어린 시절부터 제이의 예체능에 대한 재능도 칭찬 했었다."
최경의 어머니,남지연,고서희,"최경의 어머니로,스스로 유능한 변호사이지만 딸 경이의 공부에 대해 간섭하지는 않는다."
주예리의 어머니,예리 어머니,아나라,"주예리의 어머니로, 젊었을 때 한 시절 무명 배우였던 적이 있으며 딸 예리와의 관계가 소원하다."
제이의 주치의,미영,김그림,유태준이 병원장으로 있는 J메디컬센터 의사이자 제이의 주치의.
3학년 2반 담임,김선영,서은오,3학년 2반의 담임으로 수학 담당 교사.오로지 성적과 SKY 진학률만을 우선하는 인물로 무관심하고 냉소적인 성격을 지녔다.
학생,조아라,채서은,비밀을 지닌 미스터리한 학생.
왕따 학생,김범수,김상지,뒷자리에 앉은 조용하지만 극단적인 성향의 왕따 학생.
주예리의 친구,구채령,나현진,"주예리와 함께 비타민 담배를 함께 피우는 무리로, 서로 짝이며 성적이 좋은 편이나 전교 순위권은 아니다."
조아라의 친구,박병희,마현지,조아라와 짝이다. 성적이 좋은 편이나 전교 순위권은 아니다.
유제이와 같은 반 학생,김나리,고다현,유제이와 짝이 되고 싶어 하는 같은 반 학생.
채화여자고등학교의 교장,교장,하민,채화여자고등학교의 교장으로 입학식·후원자 접견 등 중요한 일에만 나서는 편이다.
